Player,Team,Jersey_x,SP,K,E,TA,attack_k%,A,SA,SE,RE,DIGS,BS,BA,BE,BHE,Unnamed: 18,points,O-Rtg,D-Rtg,T-Rtg,Jersey_y,Player_ID
Sofia Janzen,LPK,11,3,2,1,6,0.167,1,0,2,0,0,4,0,0,0,6.0,0.0,-0.2333333333333333,1.3333333333333333,1.0999999999999999,11,2097.0
Sophia Smoke,NWP,2,1,0,0,1,0.0,0,0,1,0,2,0,0,0,0,0.0,0.0,-1.0,1.0,0.0,2,2138.0
Stephanie Kendziora,CUE,14,4,9,3,17,-0.05800000000000005,0,1,2,0,1,2,0,0,0,12.0,0.0,1.25,0.625,1.875,7,2040.0
Tamara Mathison,UAA,36,4,7,7,23,0.43299999999999994,0,1,0,0,3,0,0,0,0,8.0,0.0,0.25,0.375,0.625,18,2229.0
Tanisha McQueen,NAIT,24,8,13,3,25,0.788,0,3,1,0,7,4,0,0,0,20.0,0.0,1.5,0.9375,2.4375,12,2132.0
Taryn Watson,UAA,22,8,21,3,54,0.821,0,3,2,0,15,0,0,0,0,24.0,0.0,2.375,0.9375,3.3125,11,2224.0
Taylor Hart,AMB,4,8,25,7,41,0.171,1,0,2,0,15,0,0,0,0,14.0,11.0,2.0375,0.9375,2.975,2,2001.0
Temi Bankole,SAIT,11,3,6,3,13,0.231,0,2,1,0,0,4,0,0,0,12.0,0.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,11,2194.0
Trinity Walton,LPK,4,3,3,2,12,0.083,1,0,1,0,2,1,0,0,0,4.0,0.0,0.09999999999999999,0.6666666666666666,0.7666666666666666,4,2091.0
True MacDonald,OC,4,2,1,1,2,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,4,2154.0
Zenna Miller,SAIT,10,1,0,0,0,0.0,0,3,0,0,0,0,0,0,0,3.0,0.0,3.0,0.0,3.0,10,2193.0
