Player,Team,Jersey_x,SP,K,E,TA,attack_k%,A,SA,SE,RE,DIGS,BS,BA,BE,BHE,points,PTS,O-Rtg,D-Rtg,T-Rtg,Jersey_y,Player_ID
Cole Giesbrecht,AMB,28,12,15,3,19,0.833,0,2,1,0,8,7,0,0,0,24.0,24.0,1.67,0.92,2.58,7.0,1007.0
Cole Johnson,BC,28,7,1,0,0,0.0,1,0,0,0,20,0,0,0,0,1.0,1.0,0.16,1.43,1.59,14.0,1030.0
Conor Aasman,MHC,14,8,14,0,19,1.545,0,2,2,0,0,2,0,0,0,18.0,18.0,2.0,0.25,2.25,7.0,1120.0
Cooper Paulovich,NWP,33,11,16,10,45,0.45899999999999996,0,1,11,0,10,3,0,0,0,20.0,20.0,-0.09,0.73,0.64,11.0,1158.0
Cooper Strachan,AMB,60,14,27,6,37,1.318,0,3,3,0,15,6,0,0,0,36.0,36.0,1.93,0.96,2.89,15.0,1015.0
Corny Bergen,LPK,14,3,7,2,16,0.312,0,1,3,0,4,0,0,0,0,8.0,8.0,1.0,0.67,1.67,14.0,1104.0
Cuau Alves De Carvalho,SAIT,13,2,3,0,3,1.0,0,1,1,0,0,0,0,0,0,4.0,4.0,1.5,0.0,1.5,13.0,1208.0
Dane Slater,AMB,44,15,15,1,18,1.5,0,4,3,0,6,2,0,0,0,21.0,21.0,1.13,0.33,1.47,11.0,1011.0
Dante Furlan,RDP,16,7,4,2,16,0.267,0,1,4,0,6,0,0,0,0,5.0,5.0,-0.14,0.43,0.29,8.0,1190.0
Dario Gentile,LPK,10,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10.0,1101.0
David Kindley,LPK,7,1,0,0,0,0.0,5,0,1,0,1,1,0,0,0,1.0,1.0,0.5,1.5,2.0,7.0,1098.0
Dawson Sparrow,UAA,30,3,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.03,0.0,0.03,15.0,1243.0
Dean Larson,TKU,10,5,4,1,3,0.333,0,0,0,0,3,0,0,0,0,4.0,4.0,0.6,0.3,0.9,5.0,1218.0
Declan Cook,MHC,10,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,1118.0
Devon Nazarchuck,UAA,34,8,32,5,81,0.6439999999999999,0,2,6,0,11,0,0,0,0,34.0,34.0,2.88,0.69,3.56,17.0,1245.0
Devon Sterling,OC,36,15,10,10,32,-0.275,3,5,14,1,19,4,0,0,0,19.0,19.0,-0.31,0.83,0.52,9.0,1172.0
Dezmond Estrada,TKU,2,7,0,0,0,0.0,2,0,0,3,6,0,0,0,0,0.0,0.0,0.03,0.0,0.03,1.0,1214.0
Eamon Broe,AMB,10,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,1005.0
Eli Ulrich,BC,40,8,8,0,0,0.0,1,1,0,0,7,1,0,0,0,10.0,10.0,1.26,0.56,1.82,20.0,1034.0
Emmett Neuls,NAIT,48,6,0,0,0,0.0,1,0,1,0,11,0,0,0,0,0.0,0.0,-0.15,0.92,0.77,12.0,1143.0
Eric Meili,BC,24,7,13,0,0,0.0,4,0,0,0,1,4,0,0,0,17.0,17.0,2.49,0.64,3.13,12.0,1028.0
Evan Brand,OC,16,12,0,1,1,-1.0,16,1,0,0,2,0,0,0,0,1.0,1.0,0.13,0.08,0.22,4.0,1167.0
Evan Knezacek,MHC,30,8,0,0,0,0.0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.44,0.44,15.0,1128.0
Evan Ockerman,RDP,30,8,4,0,6,1.25,2,1,2,0,7,8,0,0,0,13.0,13.0,1.4,1.44,2.84,15.0,1196.0
Finley Rasmuson,SAIT,6,2,2,1,4,0.25,0,0,2,0,0,0,1,0,0,2.5,2.5,-0.25,0.25,0.0,6.0,1201.0
Finn Howard,NAIT,36,12,22,10,41,0.42899999999999994,0,1,4,0,9,7,0,0,0,30.0,30.0,1.33,0.96,2.29,16.0,1145.0
Gage Weinrauch,KC,20,4,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.05,0.0,0.05,10.0,1059.0
Gavin Kelly,RDP,6,1,1,0,1,1.0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.1,0.0,1.1,6.0,1188.0
Gavin Worobec,LPK,31,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,31.0,1113.0
George Zapach,AMB,36,12,1,2,3,-0.667,0,0,3,0,4,5,0,0,0,6.0,6.0,0.08,0.58,0.67,9.0,1009.0
Jace Spinney,NAIT,9,12,3,3,13,-0.067,88,2,5,0,13,1,0,0,0,6.0,6.0,0.57,0.62,1.19,3.0,1134.0
Jack Hoebers,UAA,2,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1230.0
Jack Hudson,OC,32,16,0,2,2,-1.0,3,0,0,1,11,0,0,0,0,0.0,0.0,-0.11,0.28,0.18,8.0,1171.0
Jackson Hawkswell,OC,40,16,21,3,23,1.026,1,3,3,0,6,11,0,0,0,35.0,35.0,1.82,0.88,2.69,10.0,1173.0
Jacob MacGillivray,MHC,4,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,1117.0
Jacob Ritz,NAIT,8,2,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.75,0.75,4.0,1135.0
Jagr Sorensen,MHC,17,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.0,1130.0
Jake Popowich,UAA,6,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,1231.0
James Keenan,SAIT,18,2,4,2,7,0.286,1,1,2,0,0,0,0,0,0,5.0,5.0,0.55,0.0,0.55,18.0,1212.0
James Reuss,BC,20,8,18,0,0,0.0,1,3,0,0,5,4,0,0,0,25.0,25.0,3.14,0.81,3.95,10.0,1027.0
Jano Louw,BC,14,8,6,0,0,0.0,59,1,0,0,10,4,0,0,0,11.0,11.0,2.11,1.12,3.24,7.0,1024.0
Jaron Peet,KC,14,2,0,0,1,0.0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.5,0.0,0.5,14.0,1063.0
Jaxon Magnusson,NWP,32,3,1,0,2,0.5,0,0,2,0,1,0,0,0,0,1.0,1.0,-0.33,0.17,-0.17,16.0,1163.0
Jay Trowbridge,RDP,5,1,0,0,0,0.0,0,1,0,0,1,0,0,0,0,1.0,1.0,1.0,0.5,1.5,5.0,1187.0
Jeffery Culshaw,AMB,4,5,0,0,1,0.0,1,0,0,0,3,0,0,0,0,0.0,0.0,0.02,0.3,0.32,1.0,1001.0
Jeremy Kriletich,NWP,3,11,42,9,81,1.378,1,3,10,0,12,8,0,0,0,53.0,53.0,3.1,1.27,4.37,1.0,1149.0
Jeremy Weaver,NWP,14,6,1,0,4,1.0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.17,0.08,0.25,3.0,1151.0
Jesse McMillan,TKU,12,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,1219.0
Joel Lehr,MHC,6,7,8,2,16,1.167,0,0,0,0,0,0,0,0,0,8.0,8.0,0.86,0.0,0.86,3.0,1116.0
Joel Smith,UAA,36,8,0,0,0,0.0,2,0,0,0,23,1,0,0,0,1.0,1.0,0.15,1.56,1.71,18.0,1246.0
Jonah Deranger,SAIT,1,2,7,3,12,0.333,0,0,2,0,0,3,0,0,0,10.0,10.0,2.5,1.5,4.0,1.0,1198.0
Josh Annett,NAIT,36,3,1,1,2,0.0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.03,0.0,0.03,18.0,1147.0
Josh Dennis,BC,26,6,11,0,0,0.0,0,0,0,0,2,2,0,0,0,13.0,13.0,2.17,0.5,2.67,13.0,1029.0
Josh Dumont,NWP,30,11,28,3,51,1.278,3,2,11,0,12,3,0,0,0,33.0,33.0,1.75,0.82,2.57,10.0,1157.0
Josh Watson,NAIT,7,3,1,1,2,0.0,0,0,0,1,0,0,0,0,0,1.0,1.0,0.0,-0.33,-0.33,7.0,1138.0
Joshua Aspiras,AMB,2,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1002.0
Jude Martineau,MHC,2,3,0,0,0,0.0,1,2,2,0,4,0,0,0,0,2.0,2.0,0.03,0.67,0.7,18.0,1131.0
Julien Philips,NAIT,12,9,38,8,61,0.976,3,4,8,0,10,2,0,0,0,44.0,44.0,3.14,0.78,3.92,6.0,1137.0
Julien Phillips,NAIT,12,7,25,10,49,0.6649999999999999,0,4,6,0,7,5,0,0,0,34.0,34.0,2.57,1.21,3.79,,
Justice Bigstone,NWP,45,11,21,2,31,2.127,0,2,2,0,1,7,0,0,0,30.0,30.0,2.36,0.68,3.05,15.0,1162.0
Kade Miller,AMB,64,9,12,5,16,-0.125,1,1,2,0,2,0,0,0,0,13.0,13.0,0.68,0.11,0.79,16.0,1016.0
Kaden Bennett,NAIT,36,17,38,12,73,1.422,6,6,13,7,20,0,0,0,0,44.0,44.0,1.15,0.18,1.33,9.0,1140.0
Kaden Tuininga,TKU,6,12,24,7,41,0.367,5,0,1,1,12,2,0,0,0,26.0,26.0,1.54,0.58,2.12,2.0,1215.0
Kadin Marquez,AMB,12,7,6,2,17,0.925,0,2,0,0,0,1,0,0,0,9.0,9.0,1.0,0.14,1.14,3.0,1003.0
Kai Rosnau,KC,16,8,7,0,13,1.175,70,5,4,0,16,1,0,0,0,13.0,13.0,2.0,1.12,3.12,8.0,1057.0
Kaiden Gray,CUE,20,5,13,0,14,1.923,18,0,4,0,1,0,0,0,0,13.0,13.0,2.16,0.1,2.26,10.0,1046.0
Karl Petker,LPK,16,2,2,0,3,0.667,0,0,0,0,0,2,0,0,0,4.0,4.0,2.0,1.0,3.0,16.0,1105.0
Kaylen Desmarais-Joseph,KC,4,8,0,0,1,0.0,3,0,0,0,20,0,0,0,0,0.0,0.0,0.04,1.25,1.29,2.0,1051.0
Keanen Hamilton,MHC,26,8,1,0,1,1.0,46,0,4,0,3,6,0,0,0,7.0,7.0,0.95,0.94,1.89,13.0,1126.0
Keenan Farrell,CUE,4,3,2,0,3,0.667,0,1,0,0,0,0,0,0,0,3.0,3.0,1.0,0.0,1.0,2.0,1038.0
Keon Smith,NWP,6,11,0,0,0,0.0,6,0,0,0,23,0,0,0,0,0.0,0.0,0.05,1.05,1.1,2.0,1150.0
Kieran Neale,OC,72,15,4,0,1,1.0,4,2,2,0,2,3,0,0,0,9.0,9.0,0.49,0.27,0.76,18.0,1179.0
Koda Dunfield,NAIT,60,13,2,0,3,1.5,2,0,0,2,26,0,0,0,0,2.0,2.0,0.17,0.85,1.02,10.0,1141.0
Landen Roznowski,OC,76,8,1,0,0,0.0,0,1,0,0,2,0,0,0,0,2.0,2.0,0.25,0.12,0.38,19.0,1180.0
Landon Reiniger,MHC,18,8,11,1,15,1.5,1,3,2,0,2,6,0,0,0,20.0,20.0,2.14,0.88,3.01,9.0,1122.0
Liam Frost,CUE,16,6,8,2,12,1.25,20,0,9,0,1,1,0,0,0,9.0,9.0,0.0,0.25,0.25,8.0,1044.0
Liam Hartt,RDP,7,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,1189.0
Liam Peartree,SAIT,17,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,17.0,1211.0
Lincoln Fehr,NWP,42,4,0,0,0,0.0,0,0,1,0,2,0,0,0,0,0.0,0.0,-0.25,0.25,0.0,14.0,1161.0
Logan Boucher,KC,36,8,6,0,13,0.975,1,2,3,0,6,6,0,0,0,14.0,14.0,1.39,1.12,2.51,18.0,1067.0
Logan Kinnear,OC,26,2,1,0,1,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.5,0.0,0.5,13.0,1176.0
Logan Kranrod,CUE,28,5,8,0,9,1.8,0,2,3,0,0,6,0,0,0,16.0,16.0,2.6,1.2,3.8,14.0,1049.0
Logan Williams,SAIT,10,3,5,3,13,0.154,0,3,2,0,0,0,0,0,0,8.0,8.0,1.0,0.0,1.0,10.0,1205.0
Luke Erdman,UAA,16,8,6,3,11,0.16699999999999998,0,2,5,0,4,0,0,0,0,8.0,8.0,0.0,0.25,0.25,8.0,1236.0
Luke Schaefer,UAA,20,2,1,0,4,0.5,0,0,0,0,1,0,0,0,0,1.0,1.0,0.5,0.25,0.75,10.0,1238.0
Malcolm Fisher,LPK,5,3,1,2,4,-0.25,1,0,0,0,7,0,0,0,0,1.0,1.0,-0.3,1.17,0.87,5.0,1096.0
Marc Revet,BC,10,8,21,0,0,0.0,4,0,0,0,3,0,0,0,0,21.0,21.0,2.68,0.19,2.86,5.0,1022.0
Markus Rottier,CUE,26,2,0,0,0,0.0,0,1,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,13.0,1048.0
Mason Gorski,NAIT,2,7,4,2,6,0.5,72,0,3,0,9,1,0,0,0,5.0,5.0,1.03,0.79,1.81,1.0,1132.0
Matt Baker,SAIT,7,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,1202.0
Matthew Debeljak,SAIT,12,2,0,0,0,0.0,0,1,3,0,0,0,0,0,0,1.0,1.0,-1.0,0.0,-1.0,12.0,1207.0
Mike Yole,KC,22,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11.0,1060.0
